"zip","lat","lng","city","state_id","state_name","zcta","parent_zcta","population","density","county_fips","county_name","county_weights","county_names_all","county_fips_all","imprecise","military","timezone"
"00601","18.18005","-66.75218","Adjuntas","PR","Puerto Rico","TRUE","","17113","102.7","72001","Adjuntas","{""72001"": ""99.43"", ""72141"": ""0.57""}","Adjuntas|Utuado","72001|72141","FALSE","FALSE","America/Puerto_Rico"
"00602","18.36074","-67.17519","Aguada","PR","Puerto Rico","TRUE","","37751","476.0","72003","Aguada","{""72003"": ""100""}","Aguada","72003","FALSE","FALSE","America/Puerto_Rico"
"00603","18.4544","-67.12201","Aguadilla","PR","Puerto Rico","TRUE","","47081","574.9","72005","Aguadilla","{""72005"": ""100""}","Aguadilla","72005","FALSE","FALSE","America/Puerto_Rico"
"00606","18.16721","-66.93828","Maricao","PR","Puerto Rico","TRUE","","6392","58.3","72093","Maricao","{""72093"": ""94.88"", ""72153"": ""3.78"", ""72121"": ""1.35""}","Maricao|Yauco|Sabana Grande","72093|72153|72121","FALSE","FALSE","America/Puerto_Rico"
"00610","18.29032","-67.12244","Anasco","PR","Puerto Rico","TRUE","","26686","286.9","72011","A単asco","{""72011"": ""99.45"", ""72003"": ""0.55""}","A単asco|Aguada","72011|72003","FALSE","FALSE","America/Puerto_Rico"
"00612","18.40699","-66.70805","Arecibo","PR","Puerto Rico","TRUE","","59369","339.1","72013","Arecibo","{""72013"": ""99.89"", ""72017"": ""0.11""}","Arecibo|Barceloneta","72013|72017","FALSE","FALSE","America/Puerto_Rico"
"00616","18.41752","-66.66814","Bajadero","PR","Puerto Rico","TRUE","","10022","335.6","72013","Arecibo","{""72013"": ""100""}","Arecibo","72013","FALSE","FALSE","America/Puerto_Rico"
"00617","18.44125","-66.55916","Barceloneta","PR","Puerto Rico","TRUE","","23750","603.5","72017","Barceloneta","{""72017"": ""99.43"", ""72054"": ""0.57""}","Barceloneta|Florida","72017|72054","FALSE","FALSE","America/Puerto_Rico"
"00622","17.99174","-67.15248","Boqueron","PR","Puerto Rico","TRUE","","6741","89.8","72023","Cabo Rojo","{""72023"": ""100""}","Cabo Rojo","72023","FALSE","FALSE","America/Puerto_Rico"
"00623","18.08354","-67.15418","Cabo Rojo","PR","Puerto Rico","TRUE","","41746","424.5","72023","Cabo Rojo","{""72023"": ""100""}","Cabo Rojo","72023","FALSE","FALSE","America/Puerto_Rico"
"00624","18.06465","-66.71823","Penuelas","PR","Puerto Rico","TRUE","","21936","196.2","72111","Pe単uelas","{""72111"": ""92.53"", ""72113"": ""7.47""}","Pe単uelas|Ponce","72111|72113","FALSE","FALSE","America/Puerto_Rico"
"00627","18.419","-66.86033","Camuy","PR","Puerto Rico","TRUE","","31598","263.2","72027","Camuy","{""72027"": ""100""}","Camuy","72027","FALSE","FALSE","America/Puerto_Rico"
"00631","18.18555","-66.83327","Castaner","PR","Puerto Rico","TRUE","","1499","143.9","72081","Lares","{""72081"": ""67.01"", ""72001"": ""32.99""}","Lares|Adjuntas","72081|72001","FALSE","FALSE","America/Puerto_Rico"
